品番,商品名,旧カタログ参照,印刷ページ参照,変換方法,旧入数,修正入数,入数修正根拠,確認元PDF
0516,スポーツバンドセット,カタログP.176,カタログP.100,viewer_page_minus_76,12本,12本,紙面P100に1セット12本入と明記,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
0745-00,塩ビワッシャ 1.2×2.3×0.4,"カタログP.127,235","カタログP.51,159",viewer_page_minus_76,25ヶ,25ヶ,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
0745-00T,塩ビワッシャ 1.2×2.3×0.4(150本入),,,no_reference,150本,150本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
0748-07,セルピタ ロック(10ペア),カタログP.155,カタログP.79,viewer_page_minus_76,10ペア,10ペア,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
0756-01,シリコンモダン(ブラック)10本入り,,,no_reference,10本,10本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
0756-16,シリコンモダン(ブラウン)10本入り,,,no_reference,10本,10本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
0756-27,シリコンモダン(透明)10本入り,,,no_reference,10本,10本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
0786-03,シュリンクチューブ,カタログP.153,カタログP.77,viewer_page_minus_76,1m×3本,1m×3本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
0786-05,シュリンクチューブ,カタログP.153,カタログP.77,viewer_page_minus_76,1m×3本,1m×3本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
0786-08,シュリンクチューブ,カタログP.153,カタログP.77,viewer_page_minus_76,1m×3本,1m×3本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
0786-10,シュリンクチューブ,カタログP.153,カタログP.77,viewer_page_minus_76,1m×3本,1m×3本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
0787-04,シュリンクチューブ(4mm),カタログP.153,カタログP.77,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
0787-05,シュリンクチューブ(5mm),カタログP.153,カタログP.77,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
0787-08,シュリンクチューブ(8mm),カタログP.153,カタログP.77,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
0819-00,(-)バネ丁番ネジW1.4×3.0,カタログP.133,カタログP.57,viewer_page_minus_76,10本,10本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
