品番,商品名,HPから確認した情報,カタログから確認した情報,日本語の一言要約,英語の一言要約,中国語の一言要約,韓国語の一言要約,確認元URLまたはカタログ掲載ページ
0516,スポーツバンドセット,スポーツバンド / 0516 / 販売 > スポーツバンド / ワンタッチ式のスポーツバンド。伸縮性が高く目立ちにくい細形タイプ。 | 伸縮素材で高いフィット性: 適度な伸縮性があるため、しっかり頭部にフィット。 スポーツや体を動かす際にずれ落ちをしっかり防止します。 | サイズ: 最短220㎜~最長270㎜ | 幅: 10㎜,カタログP.100 / 眼鏡固定 / ズレ落ちを防ぎやすい / スポーツ時や動きの多い場面でメガネを固定するバンドです。ズレ落ちを防ぎやすく、ワンタッチで着脱しやすいので店頭販売にも説明しやすい商品です。 / 240N5175 240N5175 240N431 240N431 240N431 240N431 240N431 Sports Band No.0516·R0516 スポーツバンド ワンタッチで着脱できるスポーツバンド クリーナー サイズ：最短 220㎜〜最長 280㎜ 幅 10㎜ くもり 止 め 着脱の時に便利な ワンタッチ機能付き。 クロス 眼鏡バンド... / サイズ：最短 220㎜〜最長 280㎜ 幅 10㎜ くもり 止 め 着脱の時に便利な ワンタッチ機能付き / クロス 眼鏡バンド・ フレー ム ・ケース コーティング 液 ル ー ペ / 本入 No.1015-S·M メガネパッケージケース 1本 小売価格 ￥760（税込） 品 番 No.0516 No.R0516 / 240N5175 240N5175 240N431 240N431 240N431 240N431 240N431 Sports Band No.0516·R0516 スポーツバンド ワンタッチで着脱できるスポーツバンド クリーナー サイズ：最短 220㎜〜最長 280㎜ 幅 10㎜ くもり 止 め 着脱の時に便利な ワンタッチ機能付き。 クロス 眼鏡バンド・ フレー ム ・ケース コーティング 液 ル ー ペ || コーティング 液 ル ー ペ 簡易老眼鏡 クラッチグラス (眼 瞼 下 …,スポーツ時や動きの多い場面でメガネを固定するバンドです。ズレ落ちを防ぎやすく、店頭販売にも説明しやすい商品です。,A band for keeping glasses in place during sports or active use. It helps prevent slipping and is easy to explain as an add-on item.,用于运动或活动场景固定眼镜的绑带。可帮助防止滑落，作为门店配件也容易说明。,운동이나 활동이 많은 상황에서 안경을 고정하는 밴드입니다. 흘러내림을 줄여 매장 판매용으로도 설명하기 쉽습니다.,https://www.san-nishimura.co.jp/product/item/%e3%82%b9%e3%83%9d%e3%83%bc%e3%83%84%e3%83%90%e3%83%b3%e3%83%89/ / カタログP.100 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0745-00,塩ビワッシャ 1.2×2.3×0.4,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,"カタログP.51,159 / 固定補助 / 部品の当たりをやわらげやすい / 固定補助に使う商品です。部品の当たりやガタつきを抑え、フレームの動きや仕上がりを安定させやすくします。 / No.141-170 No.141-740 加 エッシェン バッハ No.0745-00 No.141-633 No.141-594 No.141-595 16ヶ No.141-539 No.141-540 No.141-632 お徳用あります 16ヶ || 全長 プラスチック対応 ワッシャ 金属ワッシャ 2.3φ 1.2φ 115㎜ No.0745-00... / 入数: 25ヶ / 全長 プラスチック対応 ワッシャ 金属ワッシャ 2.3φ 1.2φ 115㎜ No.0745-00 ♯ 539、♯ 540 ♯ 632、♯ 633 軸径 先端 N / φ 1.2φ 115㎜ No.6022 3.0φ 1.4φ 115㎜ ♯ 163、♯ 615 ♯ 170、♯ 189 No.6024 / φ 1.4φ 115㎜ ♯ 190、♯ 593 ♯ 170、♯ 189 No.6021 3.5φ 1.2φ 115㎜ No.0745-00 ♯ 594 No.60 / φ 1.4φ 115㎜ ♯ 163、♯ 190 ♯ 170、♯ 189 ♯ 593、♯ 615 ♯ 171 No.6025 ♯ 165、♯ 316 ♯ 170、♯ / No.141-170 No.141-740 加 エッシェン バッハ No.0745-00 No.141-633 No.141-594 No.141-595 16ヶ No.141-5…",ネジまわりや小部品の固定を補助するワッシャです。部品の当たりやガタつきを抑え、フレームの仕上がりを安定させやすくします。,A washer that supports screws and small parts. It helps reduce contact damage and looseness for a more stable frame finish.,辅助螺丝和小部件固定的垫圈。可减少接触损伤和松动，使镜架完成度更稳定。,나사 주변과 작은 부품 고정을 보조하는 와셔입니다. 접촉 손상과 흔들림을 줄여 프레임 마감을 안정시키기 쉽습니다.,"カタログP.51,159 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf"
0745-00T,塩ビワッシャ 1.2×2.3×0.4(150本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,固定補助 / 部品の当たりをやわらげやすい / 固定補助に使う商品です。部品の当たりやガタつきを抑え、フレームの動きや仕上がりを安定させやすくします。 / 入数: 150本,ネジまわりや小部品の固定を補助するワッシャです。部品の当たりやガタつきを抑え、フレームの仕上がりを安定させやすくします。,A washer that supports screws and small parts. It helps reduce contact damage and looseness for a more stable frame finish.,辅助螺丝和小部件固定的垫圈。可减少接触损伤和松动，使镜架完成度更稳定。,나사 주변과 작은 부품 고정을 보조하는 와셔입니다. 접촉 손상과 흔들림을 줄여 프레임 마감을 안정시키기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0748-07,セルピタ ロック(10ペア),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,カタログP.79 / ズレ落ち防止・フィット感調整 / 貼るだけでズレを抑え、目立ちにくく交換もしやすい / メガネの先セルや鼻当て部分に貼って、ズレ落ちを防ぎやすくする補助パーツです。透明で目立ちにくく、サイズが合えば鼻当てにも使えるため、簡単なフィット感改善提案に向いています。 / 特殊透明シリコン製 プラスチックフレーム用鼻盛り材 No.257-1 1箱12ペア入 No.257-3 （シリコンシール） No.0748-07 セルピタロック メガネの先セルに貼るだけでずれ落ちを防止します。 （細いフレームには適当なサイズにカットすることも可能です。） No.257-2 10 ペア入 240N1495 2 ペア入販売用もあります。 No.... / 入数: 10ペア / シリコン製 プラスチックフレーム用鼻盛り材 No.257-1 1箱12ペア入 No.257-3 （シリコンシール） No.0748-07 セルピタロック メガネの先セル / サイズにカットすることも可能です / ペア入 240N1495 2 ペア入販売用もあります / サイズ：長さ17×7㎜ 厚み 0.7㎜ 目立ちにくく、付け替えも簡単です / 特殊透明シリコン製 プラスチックフレーム用鼻盛り材 No.257-1 1箱12ペア入 No.257-3 （シリコンシール） No.0748-07 セルピタロック メガネの先セルに貼るだけでずれ落ちを防止します。 （細いフレームには適当なサイズにカットすることも可能です。） No.257-2 10 ペア入 240N1495 2 ペア入販売用もあります。 No.R074…,貼り付けてズレや鼻当たりを調整するフィット補助パーツです。加工なしで提案しやすく、店頭で短時間に対応できます。,An adhesive fitting aid for reducing slipping or adjusting nose contact. It is easy to offer without frame processing and can be applied quickly in store.,用于粘贴调整防滑或鼻部接触的贴附型配件。无需加工，门店可快速处理并推荐。,붙여서 흘러내림이나 코 닿는 부분을 조정하는 피팅 보조 부품입니다. 가공 없이 매장에서 빠르게 제안하기 쉽습니다.,カタログP.79 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0756-01,シリコンモダン(ブラック)10本入り,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,モダン交換 / 古くなった先セルを交換し、掛け心地や見た目を整えやすい / モダン交換に使う商品です。傷み・汚れ・割れが出た先セルを交換し、耳まわりの掛け心地と見た目を整えやすくします。 / 入数: 10本,モダン・先セルの交換に使うパーツです。傷みや汚れを交換し、耳まわりの掛け心地と見た目を整えやすくします。,A replacement part for temple tips. It helps refresh worn or dirty tips and improve comfort and appearance around the ears.,用于更换脚套/镜腿末端的部件。可替换磨损或污损部位，改善耳周佩戴感和外观。,모던과 팁 교체에 사용하는 부품입니다. 낡거나 오염된 부분을 교체해 귀 주변 착용감과 외관을 정돈하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0756-16,シリコンモダン(ブラウン)10本入り,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,モダン交換 / 古くなった先セルを交換し、掛け心地や見た目を整えやすい / モダン交換に使う商品です。傷み・汚れ・割れが出た先セルを交換し、耳まわりの掛け心地と見た目を整えやすくします。 / 入数: 10本,モダン・先セルの交換に使うパーツです。傷みや汚れを交換し、耳まわりの掛け心地と見た目を整えやすくします。,A replacement part for temple tips. It helps refresh worn or dirty tips and improve comfort and appearance around the ears.,用于更换脚套/镜腿末端的部件。可替换磨损或污损部位，改善耳周佩戴感和外观。,모던과 팁 교체에 사용하는 부품입니다. 낡거나 오염된 부분을 교체해 귀 주변 착용감과 외관을 정돈하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0756-27,シリコンモダン(透明)10本入り,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,モダン交換 / 古くなった先セルを交換し、掛け心地や見た目を整えやすい / モダン交換に使う商品です。傷み・汚れ・割れが出た先セルを交換し、耳まわりの掛け心地と見た目を整えやすくします。 / 入数: 10本,モダン・先セルの交換に使うパーツです。傷みや汚れを交換し、耳まわりの掛け心地と見た目を整えやすくします。,A replacement part for temple tips. It helps refresh worn or dirty tips and improve comfort and appearance around the ears.,用于更换脚套/镜腿末端的部件。可替换磨损或污损部位，改善耳周佩戴感和外观。,모던과 팁 교체에 사용하는 부품입니다. 낡거나 오염된 부분을 교체해 귀 주변 착용감과 외관을 정돈하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0786-03,シュリンクチューブ,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,カタログP.77 / 保護・補修・滑り止め加工 / 熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。 / ※写真はおおよそ原寸サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 08 No.0786-10 φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ / 入数: 1m×3本 / サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 08 No.0786-10 φ内径 1 / φ収縮後 長 さ / ※写真はおおよそ原寸サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 08 No.0786-10 φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ,熱で収縮してテンプルや小部品に密着するチューブです。保護・補修・滑り止め加工を短時間で行いやすくします。,"A heat-shrink tube that fits closely around temples or small parts. It helps with protection, repair, and anti-slip finishing.",加热后收缩并贴合镜腿或小部件的套管。便于进行保护、修补和防滑加工。,"열로 수축해 템플이나 작은 부품에 밀착되는 튜브입니다. 보호, 보수, 미끄럼 방지 가공을 빠르게 하기 쉽습니다.",カタログP.77 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0786-05,シュリンクチューブ,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,カタログP.77 / 保護・補修・滑り止め加工 / 熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。 / 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 08 No.0786-10 φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径 / 入数: 1m×3本 / φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径 / 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 08 No.0786-10 φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径,熱で収縮してテンプルや小部品に密着するチューブです。保護・補修・滑り止め加工を短時間で行いやすくします。,"A heat-shrink tube that fits closely around temples or small parts. It helps with protection, repair, and anti-slip finishing.",加热后收缩并贴合镜腿或小部件的套管。便于进行保护、修补和防滑加工。,"열로 수축해 템플이나 작은 부품에 밀착되는 튜브입니다. 보호, 보수, 미끄럼 방지 가공을 빠르게 하기 쉽습니다.",カタログP.77 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0786-08,シュリンクチューブ,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,カタログP.77 / 保護・補修・滑り止め加工 / 熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。 / 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 08 No.0786-10 φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径 0.75㎜ １m×３本 / 入数: 1m×3本 / φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径 0.75㎜ １m×３本 / 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 08 No.0786-10 φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径 0.75㎜ １m×３本,熱で収縮してテンプルや小部品に密着するチューブです。保護・補修・滑り止め加工を短時間で行いやすくします。,"A heat-shrink tube that fits closely around temples or small parts. It helps with protection, repair, and anti-slip finishing.",加热后收缩并贴合镜腿或小部件的套管。便于进行保护、修补和防滑加工。,"열로 수축해 템플이나 작은 부품에 밀착되는 튜브입니다. 보호, 보수, 미끄럼 방지 가공을 빠르게 하기 쉽습니다.",カタログP.77 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
