"品番","商品名_JA","current_pack_qty","catalog_pack_qty","pack_status","catalog_pages","evidence","notes"
"0516","スポーツバンドセット","","ambiguous: 12 本 / 1本","ambiguous","カタログP.176","PDF抽出メモ:品番直近=12 本 [No.0516 つり下げ陳列可能な ヘッダー付きパッケージ 1 セット：12 本入] || PDF抽出メモ:品番直近=1本 [セット：12 本入 No.1015-S·M メガネパッケージケース 1本 小売価格 ￥760（税込） 品 番]","複数候補あり: 12 本 / 1本"
"0745-00","塩ビワッシャ 1.2×2.3×0.4","25ヶ","ambiguous: 16ヶ / 25ヶ","ambiguous","カタログP.127,235","PDF抽出メモ:品番直近=16ヶ [お徳用あります 16ヶ || 全長 プラスチック対応 ワッシャ 金属ワッシャ 2.3φ 1.2φ 115㎜] || 既存入数抽出メモ:PDF抽出メモ=25ヶ [25ヶ] || pack_quantity_fill_report:PDF抽出メモ=25ヶ [25ヶ]","複数候補あり: 16ヶ / 25ヶ"
"0745-00T","塩ビワッシャ 1.2×2.3×0.4(150本入)","150本","","no_catalog_evidence","","",""
"0748-07","セルピタ ロック(10ペア)","10ペア","ambiguous","ambiguous","カタログP.155","",""
"0756-01","シリコンモダン(ブラック)10本入り","10本","","no_catalog_evidence","","",""
"0756-16","シリコンモダン(ブラウン)10本入り","10本","","no_catalog_evidence","","",""
"0756-27","シリコンモダン(透明)10本入り","10本","","no_catalog_evidence","","",""
"0786-03","シュリンクチューブ","1m×3本","1m×3本","ok","カタログP.153","既存入数抽出メモ:PDF抽出メモ=1m×3本 [1m×3本] || pack_quantity_fill_report:PDF抽出メモ=1m×3本 [1m×3本]",""
"0786-05","シュリンクチューブ","1m×3本","1m×3本","ok","カタログP.153","既存入数抽出メモ:PDF抽出メモ=1m×3本 [1m×3本] || pack_quantity_fill_report:PDF抽出メモ=1m×3本 [1m×3本]",""
"0786-08","シュリンクチューブ","1m×3本","1m×3本","ok","カタログP.153","既存入数抽出メモ:PDF抽出メモ=1m×3本 [1m×3本] || pack_quantity_fill_report:PDF抽出メモ=1m×3本 [1m×3本]",""
"0786-10","シュリンクチューブ","1m×3本","1m×3本","ok","カタログP.153","既存入数抽出メモ:PDF抽出メモ=1m×3本 [1m×3本] || pack_quantity_fill_report:PDF抽出メモ=1m×3本 [1m×3本]",""
"0787-04","シュリンクチューブ(4mm)","","ambiguous","ambiguous","カタログP.153","",""
