metric,value
total_products,3853
product_url_updated,3853
korean_japanese_period_fixed,7706
商品名_ZH_updated,3003
商品名_KO_updated,2781
english_truncated_summary_fixed,251
商品名_EN_updated,2632
description_rule_updates,2899
remaining_japanese_in_name_EN,34
remaining_japanese_in_name_ZH,34
remaining_japanese_in_name_KO,34
remaining_pcs_pairs_in_ZH,59
remaining_pcs_pairs_in_KO,59
商品名_ZH_pass2_updated,539
商品名_EN_pass2_updated,2108
商品名_KO_pass2_updated,2152
remaining_kana_in_name_EN,0
remaining_kana_in_name_ZH,0
remaining_kana_in_name_KO,0
remaining_cjk_in_name_EN,73
remaining_cjk_in_name_KO,73
remaining_pcs_pairs_in_ZH,0
remaining_pcs_pairs_in_KO,0
english_cjk_name_fixed,73
korean_cjk_name_fixed,73
remaining_cjk_in_name_EN_final,0
remaining_cjk_in_name_KO_final,0
