品番,商品名_JA,入数,抽出元,抽出メモ,カタログ参照
0745-00,塩ビワッシャ 1.2×2.3×0.4,25ヶ,PDF抽出メモ,25ヶ,"PDF p.127,235"
0745-00T,塩ビワッシャ 1.2×2.3×0.4(150本入),150本,商品名_JA,150本入,
0748-07,セルピタ ロック(10ペア),10ペア,商品名_JA,(10ペア),PDF p.155
0756-01,シリコンモダン(ブラック)10本入り,10本,商品名_JA,10本入,
0756-16,シリコンモダン(ブラウン)10本入り,10本,商品名_JA,10本入,
0756-27,シリコンモダン(透明)10本入り,10本,商品名_JA,10本入,
0786-03,シュリンクチューブ,1m×3本,PDF抽出メモ,1m×3本,PDF p.153
0786-05,シュリンクチューブ,1m×3本,PDF抽出メモ,1m×3本,PDF p.153
0786-08,シュリンクチューブ,1m×3本,PDF抽出メモ,1m×3本,PDF p.153
0786-10,シュリンクチューブ,1m×3本,PDF抽出メモ,1m×3本,PDF p.153
0819-00,(-)バネ丁番ネジW1.4×3.0,10本,PDF抽出メモ,10本,PDF p.133
0819-00A,(-)バネ丁番ネジW(100本入),100本,商品名_JA,100本入,
0819-01,(-)バネ丁番ネジW1.4×3.5,10本,PDF抽出メモ,10本,PDF p.133
0819-01A,(-)バネ丁番ネジW(100本入),100本,商品名_JA,100本入,
0819-02,(-)バネ丁番ネジW1.4×4.5,10本,PDF抽出メモ,10本,PDF p.133
0819-02A,(-)バネ丁番ネジW(100本入),100本,商品名_JA,100本入,
0819-10,(-)バネ丁番ネジG1.4×3.0,10本,PDF抽出メモ,10本,PDF p.133
0819-10A,(-)バネ丁番ネジG(100本入),100本,商品名_JA,100本入,
0819-11,(-)バネ丁番ネジG1.4×3.5,10本,PDF抽出メモ,10本,PDF p.133
0819-11A,(-)バネ丁番ネジG(100本入),100本,商品名_JA,100本入,
0819-12,(-)バネ丁番ネジG1.4×4.5,10本,PDF抽出メモ,10本,PDF p.133
0819-12A,(-)バネ丁番ネジG(100本入),100本,商品名_JA,100本入,
0822-01,花型ナットW1.2×2.25×1.0,18ヶ,PDF抽出メモ,18ヶ,PDF p.126
0822-01A,花型ナットW(100個入),100個,商品名_JA,100個入,
0822-02,花型ナットG1.2×2.25×1.0,16ヶ,PDF抽出メモ,16ヶ,PDF p.126
0822-02A,花型ナットG(100個入),100個,商品名_JA,100個入,
0822-03,花型ナットGUN1.2×2.25×1.0,14ヶ,PDF抽出メモ,14ヶ,PDF p.126
0822-03A,花型ナットGUN(100個入),100個,商品名_JA,100個入,
0831-00,ツーポイントネジW 1.2×10,15本,PDF抽出メモ,15本,PDF p.126
0831-00A,(-)ツーポイントネジW(100本入),100本,商品名_JA,100本入,
0831-10,ツーポイントネジG 1.2×10,14本,PDF抽出メモ,14本,PDF p.126
0831-10A,(-)ツーポイントネジG(100本入),100本,商品名_JA,100本入,
0831-20,ツーポイントネジGUN 1.2×10,13本,PDF抽出メモ,13本,PDF p.126
0831-20A,(-)ツーポイントネジGUN(100本入),100本,商品名_JA,100本入,
0839-00,六角底付ナットW1.2×2.25×2.0,10ヶ,PDF抽出メモ,10ヶ,PDF p.126
0839-00A,六角底付ナットW(100個入),100個,商品名_JA,100個入,
0839-10,六角底付ナットG1.2×2.25×2.0,8ヶ,PDF抽出メモ,8ヶ,PDF p.126
0839-10A,六角底付ナットG(100個入),100個,商品名_JA,100個入,
0839-20,六角底付ナットGUN1.2×2.25×2.0,8ヶ,PDF抽出メモ,8ヶ,PDF p.126
0839-20A,六角底付ナットGUN(100個入),100個,商品名_JA,100個入,
0841-01,(-)ツーポイントネジW 1.2×10,10本,PDF抽出メモ,10本,PDF p.126
0841-01A,(-)ツーポイントネジW (100本入),100本,商品名_JA,100本入,
0841-11,(-)ツーポイントネジG 1.2×10,10本,PDF抽出メモ,10本,PDF p.126
0841-11A,(-)ツーポイントネジG (100本入),100本,商品名_JA,100本入,
0843-00,(-)ツーポイントネジW1.2×13,10本,PDF抽出メモ,10本,PDF p.126
0843-00A,(-)ツーポイントネジW(100本入),100本,商品名_JA,100本入,
0844-00,花型段付ナットW1.2×2.25×4.0,10ヶ,PDF抽出メモ,10ヶ,PDF p.126
