品番,商品名_JA,商品名_KO,用途_JA,メリット_JA,用途_KO,メリット_KO,韓国眼鏡店への販売価格（KRW）,通貨,入数,カタログ参照,画像ファイル名,商品ページURL
0516,スポーツバンドセット,스포츠 밴드 세트,眼鏡固定,動いてもズレ落ちを防ぎやすい,안경 고정,움직일 때 흘러내림을 줄이기 쉬움,70400,KRW,12本,カタログP.100,,https://www.san-nishimura.co.jp/product/item/%e3%82%b9%e3%83%9d%e3%83%bc%e3%83%84%e3%83%90%e3%83%b3%e3%83%89/
0745-00,塩ビワッシャ 1.2×2.3×0.4,PVC 와셔 1.2×2.3×0.4,固定補助,当たりやガタつきを抑えやすい,고정 보조,닿는 손상과 흔들림을 줄이기 쉬움,5100,KRW,25ヶ,"カタログP.51,159",0745-00_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=0745-00
0745-00T,塩ビワッシャ 1.2×2.3×0.4(150本入),PVC 와셔 1.2×2.3×0.4(150개),固定補助,当たりやガタつきを抑えやすい,고정 보조,닿는 손상과 흔들림을 줄이기 쉬움,28000,KRW,150本,,,https://www.san-nishimura.co.jp/product/item/?key_word=0745-00T
0748-07,セルピタ ロック(10ペア),셀피타 잠금(10쌍),貼るフィット調整,加工なしでズレや当たりを調整しやすい,부착식 피팅 조정,가공 없이 흘러내림과 닿는 느낌을 조정하기 쉬움,25400,KRW,10ペア,カタログP.79,0748-07_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=0748-07
0756-01,シリコンモダン(ブラック)10本入り,실리콘팁(블랙)10개,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,37400,KRW,10本,,0756-01_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=0756-01
0756-16,シリコンモダン(ブラウン)10本入り,실리콘팁(브라운)10개,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,37400,KRW,10本,,0756-16_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=0756-16
0756-27,シリコンモダン(透明)10本入り,실리콘팁(투명)10개,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,37400,KRW,10本,,0756-27_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=0756-27
0786-03,シュリンクチューブ,수축 튜브,保護・補修・滑り止め加工,熱で密着し、必要部位を保護しやすい,보호·보수·미끄럼 방지 가공,열로 밀착되어 필요한 부위를 보호하기 쉬움,29300,KRW,1m×3本,カタログP.77,0786-03_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=0786-03
0786-05,シュリンクチューブ,수축 튜브,保護・補修・滑り止め加工,熱で密着し、必要部位を保護しやすい,보호·보수·미끄럼 방지 가공,열로 밀착되어 필요한 부위를 보호하기 쉬움,29300,KRW,1m×3本,カタログP.77,0786-05_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=0786-05
0786-08,シュリンクチューブ,수축 튜브,保護・補修・滑り止め加工,熱で密着し、必要部位を保護しやすい,보호·보수·미끄럼 방지 가공,열로 밀착되어 필요한 부위를 보호하기 쉬움,29300,KRW,1m×3本,カタログP.77,0786-08_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=0786-08
